# FFCharge Data File
#
# Format: scheme,position,residue,atom,charge
#
# Position: n (n-terminal), n- (n-terminal deprotonated), c (c-terminal), c+ (c-terminal protonated), 5 (5'), 3 (3'), m (middle), (empty for none - water/ion)
#
# Scheme Keys:
#   Protein: amber-ffsb, amber-ff03, charmm
#   DNA:     amber, charmm
#   RNA:     amber, charmm
#   Water:   tip3p, tip3p-fb, spc, spc-e, opc3
#   Ion:     classic

scheme,position,residue,atom,charge

# Protein: amber-ffsb

# ALA - middle
amber-ffsb,n-,ASP,H1,0.2200000
amber-ffsb,n-,ASP,H2,0.2200000
amber-ffsb,n-,ASP,CA,0.0292000
amber-ffsb,n-,ASP,HA,0.1141000
amber-ffsb,n-,ASP,CB,-0.0235000
amber-ffsb,n-,ASP,HB2,-0.0169000
amber-ffsb,n-,ASP,HB3,-0.0169000
amber-ffsb,n-,ASP,CG,0.8194000
amber-ffsb,n-,ASP,OD1,-0.8084000
amber-ffsb,n-,ASP,OD2,-0.8084000
amber-ffsb,n-,ASP,C,0.5621000
amber-ffsb,n-,ASP,O,-0.5889000

# ASP - c-terminal protonated
amber-ffsb,c+,ASP,N,-0.5192000
amber-ffsb,c+,ASP,H,0.3055000
amber-ffsb,c+,ASP,CA,-0.1817000
amber-ffsb,c+,ASP,HA,0.1046000
amber-ffsb,c+,ASP,CB,-0.0677000
amber-ffsb,c+,ASP,HB2,-0.0212000
amber-ffsb,c+,ASP,HB3,-0.0212000
amber-ffsb,c+,ASP,CG,0.8851000
amber-ffsb,c+,ASP,OD1,-0.8162000
amber-ffsb,c+,ASP,OD2,-0.8162000
amber-ffsb,c+,ASP,C,0.7256000
amber-ffsb,c+,ASP,O,-0.5212000
amber-ffsb,c+,ASP,OXT,-0.5212000
amber-ffsb,c+,ASP,HOXT,0.4650000

# ASH - middle
amber-ffsb,m,ASH,N,-0.4157000
amber-ffsb,m,ASH,H,0.2719000
amber-ffsb,m,ASH,CA,0.0341000
amber-ffsb,m,ASH,HA,0.0864000
amber-ffsb,m,ASH,CB,-0.0316000
amber-ffsb,m,ASH,HB2,0.0488000
amber-ffsb,m,ASH,HB3,0.0488000
amber-ffsb,m,ASH,CG,0.6462000
amber-ffsb,m,ASH,OD1,-0.5554000
amber-ffsb,m,ASH,OD2,-0.6376000
amber-ffsb,m,ASH,HD2,0.4747000
amber-ffsb,m,ASH,C,0.5973000
amber-ffsb,m,ASH,O,-0.5679000

# ASH - n-terminal
amber-ffsb,n,ASH,N,0.1414000
amber-ffsb,n,ASH,H1,0.1997000
amber-ffsb,n,ASH,H2,0.1997000
amber-ffsb,n,ASH,H3,0.1997000
amber-ffsb,n,ASH,CA,0.1062000
amber-ffsb,n,ASH,HA,0.1300000
amber-ffsb,n,ASH,CB,-0.0316000
amber-ffsb,n,ASH,HB2,0.0488000
amber-ffsb,n,ASH,HB3,0.0488000
amber-ffsb,n,ASH,CG,0.6462000
amber-ffsb,n,ASH,OD1,-0.5554000
amber-ffsb,n,ASH,OD2,-0.6376000
amber-ffsb,n,ASH,HD2,0.4747000
amber-ffsb,n,ASH,C,0.5973000
amber-ffsb,n,ASH,O,-0.5679000

# ASH - c-terminal
amber-ffsb,c,ASH,N,-0.4157000
amber-ffsb,c,ASH,H,0.2719000
amber-ffsb,c,ASH,CA,-0.1189000
amber-ffsb,c,ASH,HA,0.1067000
amber-ffsb,c,ASH,CB,-0.0316000
amber-ffsb,c,ASH,HB2,0.0488000
amber-ffsb,c,ASH,HB3,0.0488000
amber-ffsb,c,ASH,CG,0.6462000
amber-ffsb,c,ASH,OD1,-0.5554000
amber-ffsb,c,ASH,OD2,-0.6376000
amber-ffsb,c,ASH,HD2,0.4747000
amber-ffsb,c,ASH,C,0.7731000
amber-ffsb,c,ASH,O,-0.8055000
amber-ffsb,c,ASH,OXT,-0.8055000

# ASH - n-terminal deprotonated
amber-ffsb,n-,ASH,N,-0.6278000
amber-ffsb,n-,ASH,H1,0.1997000
amber-ffsb,n-,ASH,H2,0.1997000
amber-ffsb,n-,ASH,CA,0.0751000
amber-ffsb,n-,ASH,HA,0.1300000
amber-ffsb,n-,ASH,CB,-0.0316000
amber-ffsb,n-,ASH,HB2,0.0488000
amber-ffsb,n-,ASH,HB3,0.0488000
amber-ffsb,n-,ASH,CG,0.6462000
amber-ffsb,n-,ASH,OD1,-0.5554000
amber-ffsb,n-,ASH,OD2,-0.6376000
amber-ffsb,n-,ASH,HD2,0.4747000
amber-ffsb,n-,ASH,C,0.5973000
amber-ffsb,n-,ASH,O,-0.5679000

# ASH - c-terminal protonated
amber-ffsb,c+,ASH,N,-0.4157000
amber-ffsb,c+,ASH,H,0.2719000
amber-ffsb,c+,ASH,CA,-0.1189000
amber-ffsb,c+,ASH,HA,0.1067000
amber-ffsb,c+,ASH,CB,-0.0316000
amber-ffsb,c+,ASH,HB2,0.0488000
amber-ffsb,c+,ASH,HB3,0.0488000
amber-ffsb,c+,ASH,CG,0.6462000
amber-ffsb,c+,ASH,OD1,-0.5554000
amber-ffsb,c+,ASH,OD2,-0.6376000
amber-ffsb,c+,ASH,HD2,0.4747000
amber-ffsb,c+,ASH,C,0.7731000
amber-ffsb,c+,ASH,O,-0.5380000
